query_name,query,description
Sockstat TCP Inuse,"node_sockstat_TCP_inuse{instance=$}",Sockstat TCP tcp sockets currently in use
Sockstat TCP Memory,"node_sockstat_TCP_mem{instance=$}",Sockstat TCP used memory
Sockstat TCP waiting,"node_sockstat_TCP_tw{instance=$}",Sockstat TCP Sockets Waiting for to close
Sockstat UDP Inuse,"node_sockstat_UDP_inuse{instance=$}",Sockstat Udp in use
Sockstat UDP Memory,"node_sockstat_UDP_mem{instance=$}",Used memory for udp
TCP Connections established/close,"node_netstat_Tcp_CurrEstab{instance=$}",TCP Connections for which the current state is either established or close-wait
Datagrams Received,"irate(node_netstat_Udp_InDatagrams{instance=$}[#])",UDP in datagrams received
DataGrams Sent,"irate(node_netstat_Udp_OutDatagrams{instance=$}[#])",UDO datagrams sent
Netstat Received Octets,"irate(node_netstat_IpExt_InOctets{instance=$}[#])",netstat ip in octets
Netstat Sent Octets,"irate(node_netstat_IpExt_OutOctets{instance=$}[#])",netstat ip out octets
TCP Segments Received,"irate(node_netstat_Tcp_InSegs{instance=$}[#])",segments received including errors count of currently established connections
TCP Segments Sent,"irate(node_netstat_Tcp_OutSegs{instance=$}[#])",segments sent on current connections but excluding those contain only transmitted octets
